Questions,Réponses
Obtenir des renseignements sur les sols pollués,La destination d’un local est appréciée sur celle constatée lors du recensement du 1er janvier 1970 en considérant les éventuels changements de destination réalisés depuis cette date. La révision foncière de 1970 est disponible auprès du centre des impôts foncier territorialement compétent.
Obtenir des renseignements sur le sous-sol et les carrières,"Retrouvez ces informations, et davantage, dans la page Changement de destination."
Le raccordement au réseau d'assainissement parisien,"A noter: cette page est directement accessible en tapant ""changement de destination"" dans le moteur de recherche de Paris.fr."
Déposer une demande d’agrément pour des locaux d’activité,Le changement d'usage d'un local:
Extrait de matrice cadastrale– Recherche d’un propriétaire,"Dans l'unique cas où un local a une destination d'habitation mais que l'on souhaite changer cette destination en autre chose que de l'habitation, ou utiliser les locaux temporairement à autre chose que de l'habitation, il est nécessaire de faire, en plus de la demande d'urbanisme liée au changement de destination, une demande de changement d'usage (anciennement appelé ""affectation"") pour obtenir de la ville de Paris une dérogation. Cette autorisation d'usage n'est pas liée au local mais à la personne qui en fait la demande."
"Quelle réglementation pour l'affichage des panneaux ""A vendre"" sur les façades?","Pour utiliser un logement (et seulement un logement) à un autre usage que l’habitation, il faut demander une dérogation à la Ville de Paris."
Comment obtenir des renseignements d’urbanisme sur un terrain ou bâtiment?,"Pour la marche à suivre, les formulaires à télécharger, consulter la rubrique ""Changement d'usage""."
"Comment savoir si un bâtiment est classé Monument historique ou obtenir des informations sur un bâtiment protégé, un élément particulier protégé, une parcelle signalée pour son intérêt patrimonial?","A noter: cette rubrique est directement accessible en tapant ""changement d'usage"" dans le moteur de recherche de Paris.fr."
Urbanisme et constructibilité d’un terrain? Quels sont les droits liés à une parcelle? Que puis-je construire? Faisabilité d’un projet?,"Les servitudes d’alignement sont mentionnées sur le Plan local d’urbanisme (PLU). En l’absence de prescription particulière, l’article 6 du règlement s’applique."
Comment connaitre l'avancement de votre dossier?,Pour savoir si un immeuble comporte une servitude il faut éditer une notice de renseignements d’urbanisme.
"Je souhaite réaliser des travaux de développement durable et d’économie d’énergie, où puis-je avoir des informations?",Pour vendre un bien immobilier (art. L 213-2 et R 213-5 du CU) vous avez l’obligation d’adresser à la Ville de Paris une Déclaration d’intention d’aliéner (D.I.A.) dans les cas suivants:
Comment contester une autorisation d'urbanisme?,"- si votre bien immobilier se trouve dans un secteur couvert par le Droit de préemption renforcé,"
Comment obtenir des renseignements sur la sécurité des bâtiments et sur les Etablissements recevant du public (E.R.P.)?,- si votre bien immobilier se trouve dans un secteur couvert par le Droit de préemption simple et qu’il fait partie d’une copropriété dont le règlement a été établi moins de 10 ans à la date de la vente (vous en êtes exempté dans le cas contraire).
Le Certificat d’urbanisme d’information (a),La Déclaration d’intention d’aliéner doit être adressée par lettre recommandée à l’adresse suivante:
Zone urbaine sensible (ZUS),"Ville de Paris– Direction de l’Urbanisme, Service de l'action foncière, Bureau 7.12.J.F, 121 avenue de France, CS 51388– 75639 Paris Cedex 13. Tél.: 0142768014"
Comment installer une plaque indicatrice de numéro de rue?,Vous pouvez demander des informations par messagerie électronique à: [du-dia puis paris.fr  après le signe @]qh-qvn@cnevf.se[du-dia puis paris.fr après le signe @]
"Je dois faire des travaux, dois-je faire une demande? Quel type de dossier faut-il pour des travaux?","Retrouver toutes les infos sur la page ""Mutation immobilière"""
"Comment constituer un dossier de Déclaration préalable, de demande de Permis de construire ou de Permis de démolir? Combien d’exemplaires faut-il? Faisabilité d’un dossier?",Pour savoir si votre bien immobilier est dans un secteur couvert par un droit de préemption simple ou un droit de préemption renforcé (capacité pour la ville d’acquérir un bien mis en vente) vous pouvez consulter la notice de Renseignements d’Urbanisme.
Comment obtenir un plan parcellaire ou un plan cadastral?,Nota: le Conseil de Paris n’a pas entériné:
"Quels sont les délais d’instruction d’une Déclaration préalable, d’un Permis de construire ou d’un Permis de démolir?","Retrouver toutes les informations sur la page ""Mutation immobilière""."
Quand doit-on avoir recours à un architecte?,"La demande écrite doit être transmise à l’adresse suivante: Direction de l'Urbanisme, Service du permis de construire et du paysage de la rue, 121 avenue de France, CS 51388– 75639 Paris Cedex 13."
Où en est l’instruction de mon dossier d’urbanisme?,"Nota: la date de construction d’un immeuble figure généralement dans les règlements de copropriétés. Les plans aussi en principe. En tout état de cause, la ville de Paris ne dispose pas des plans des immeubles."
Comment réaliser l’affichage d’un Permis de construire autorisé ou d’une Déclaration préalable sans opposition?,"Si vous souhaitez consulter un dossier d’urbanismeayant fait l’objet d’une décision, vous pouvez faire la demande via le guichetélectronique téléservice ou via le formulaire de contact en ligne. Un lien vers ledossier vous sera transmis.Pour les dossiers non numérisés, un délai de 4 semaines est à prévoirpour obtenir le lien de consultation."
"Peut-on transférer les droits d’un Permis de construire, d’une Déclaration préalable ou d’un Permis de démolir?",Les permis de construire de plus de 10 anspeuvent avoir été versés aux Archives de Paris au 18 boulevard Sérurier - 75019Paris. Pour vous en assurer vous pouvez consulter la liste des dossiersarchivés disponible sur le site internet des Archives de Parisavant de formuler une demande auprès du BASU.
Délais de validité de l’autorisation d’un Permis de construire ou d’une Déclaration préalable?,"Pour les déclarations préalables: ellessont conservées six ans, au-delà les dossiers ne sont plus consultables."
Quand et comment faire une Déclaration d’ouverture de chantier (D.O.C.)?,"Pour connaître l’année de dépôt du dossier que voussouhaitez consulter: il correspond à la troisième série de chiffres aprèsles deux premières lettres. Par exemple, pour le dossier DP 075110 21 V0001,l’année de dépôt sera 2021."
Quelles sont les formalités pour installer un échafaudage ou une palissade?,"Ce document certifie que la parcelle sise à Paris…ème arrondissement, cadastrée section No… est numérotée conformément aux indications de la collection minute du plan de Paris visée à l’arrêté préfectoral du 14 mai 1956 relatif à la désignation des voies de Paris et au numérotage des immeubles, soit: rue……… Numéro……."
Quand et comment faire une Déclaration attestant l’achèvement des travaux (D.A.A.C.T.)?,"Ce certificat doit être demandé à la Direction de l'Urbanisme, Service de l’action foncière, Service de la topographie et de la documentation foncière, 121 avenue de France, CS 51388– 75639 Paris Cedex 13 ou par courriel [du-dtdf-numerotage puis paris.fr après le signe @]qh-qgqs-ahzrebgntr@cnevf.se[du-dtdf-numerotage puis paris.fr après le signe @]."
Comment faire une demande d’enseigne?,Nota: Les références cadastrales du terrain peuvent être obtenues en demandant une notice de Renseignements d’urbanisme.
Comment faire une demande d’étalage ou de terrasse?,"Depuis le 1er juillet 2017, la Ville de Paris est compétente en matière de péril et de sécurité des équipements communs pour les bâtiments à usage principal d’habitation ainsi que de salubrité et de péril pour les bâtiments à usage partiel ou total d’hébergement."
"Quels sont les délais d’instruction d’une demande enseigne, d’étalage ou de terrasse?",Vous avez des problèmes de salubrité/sécurité/péril dans votre immeuble/votre logement? Votre logement ou votre immeuble présente des risques pour la santé des occupants?
"Quels sont les montants des taxes pour des enseignes, des étalages ou des terrasses?","Retrouvez toutes les informations nécessaires ainsi que la liste des immeubles déclarés en péril sur la page ""Lutte contre l'habitat indigne"""
"Où en est l’instruction de mon dossier d’enseigne, d’étalage ou de terrasse?",Un appartement peut être frappé d’une interdiction d’habiter pour des raisons d’insalubrité.
"Quelles sont les formalités administratives à la ville de Paris pour rénover un commerce situé au rez-de-chaussée (devanture, enseigne, terrasse)?","Pour tout renseignement, écrire: Direction du logement et de l’habitat de la Ville de Paris, Service technique de l’habitat, 103 avenue de France, 75013 Paris."
L’installation d’un climatiseur externe nécessite-elle une déclaration préalable?,A noter qu’il n’existe pas de certificat de “salubrité”.
