Question,Réponse
Quelles sont les heures d’ouverture et de clôture du scrutin ?,"Le scrutin est ouvert à 8 heures, il est clos à 18 heures (pour l'élection présidentielle, il est clos à 19 heures). L'heure d'ouverture peut être avancée et l'heure de clôture retardée (jusqu'à 20 heures) par arrêté préfectoral."
Comment est agencé un bureau de vote ?,"On trouve dans le bureau de vote :
une table de décharge où sont déposés les bulletins de vote et les enveloppes ;
une table de vote à laquelle prennent place les personnes chargées d’assurer le bon déroulement du vote ;
un ou plusieurs isoloirs ;
les tables de dépouillement dont le nombre ne peut être supérieur au nombre d’isoloir ;
les affiches reproduisant les dispositions du code électoral.
Sur la table de vote, sont notamment disposés :
l’urne, transparente, munie de deux serrures ou cadenas dissemblables ;
le procès-verbal des opérations électorales en double exemplaire du modèle fourni par la préfecture ;
la liste d'émargement qui est la copie de la liste électorale et qui sert à recueillir les émargements (signatures) des électeurs ;
le code électoral à jour, qui peut être numérique ;
l'arrêté ou le décret de convocation des électeurs ;
le cas échéant, l'arrêté du représentant de l'État ayant divisé la commune en plusieurs bureaux de vote ;
les cartes électorales qui n’ont pas été remises au domicile des électeurs ;
la circulaire ministérielle du 16 janvier 2020 relative au déroulement des opérations électorales lors des élections au suffrage universel direct ;
la circulaire ministérielle relative à l’organisation du scrutin du jour ;
l’extrait du registre des procurations ;
la liste des candidats ;
la liste des membres du bureau de vote.
Présidentielle 2022 : le protocole sanitaire pour les opérations de vote
En bref
1er avril 2022"
Comment sont vérifiés le droit à voter et l’identité des électeurs ?,"Le défaut de présentation de la carte électorale ne fait pas obstacle à l’exercice du droit de vote si l’électeur est inscrit sur la liste électorale d’émargement ou est porteur d’une décision de justice d’inscription et qu’il justifie de son identité.
En application de l'article R60 du code électoral :
les électeurs des communes de moins de 1 000 habitants ne sont pas tenus de présenter un titre d’identité ;
les électeurs des communes de 1 000 habitants et plus doivent présenter un des titres d’identité dont la liste a été fixée par un arrêté du 16 novembre 2018.
Liste des pièces permettant de justifier son identité au moment du vote
Carte nationale d'identité ;
Passeport ;
Carte d'identité de parlementaire avec photographie, délivrée par le président d'une assemblée parlementaire ;
Carte d'identité d'élu local avec photographie, délivrée par le représentant de l'État ;
Carte vitale avec photographie ;
Carte du combattant avec photographie, délivrée par l'Office national des anciens combattants et victimes de guerre ;
Carte d'invalidité ou carte de mobilité inclusion avec photographie ;
Carte d'identité de fonctionnaire de l'Etat avec photographie ;
Carte d'identité ou carte de circulation avec photographie, délivrée par les autorités militaires ;
Permis de conduire sécurisé conforme au format ""Union européenne"" (le permis de conduire cartonné reste accepté jusqu'en 2033) ;
Permis de chasser avec photographie, délivré par l'Office national de la chasse et de la faune sauvage ;
Récépissé valant justification de l'identité, délivré en échange des pièces d'identité en cas de contrôle judiciaire
Tous ces titres doivent être en cours de validité sauf la CNI et le passeport qui peuvent être présentés en cours de validité ou périmés depuis moins de cinq ans.
Pour les ressortissants de l'Union européenne qui peuvent voter aux élections municipales et aux élections européennes, s'ajoutent à la liste des titres admis la carte d'identité ou le passeport délivré par l'État d'origine et le titre de séjour."
Existe-t-il des contraintes vestimentaires dans le bureau de vote ?,"Il n’existe pas de limite à la liberté vestimentaire des électeurs, dans le respect habituel des bonnes mœurs. La tenue portée ne doit toutefois pas faire obstacle au contrôle de l’identité de l’électeur."
Quelles sont les mesures pour permettre le vote des personnes handicapées ?,"La loi du 23 mars 2019 de programmation 2018-2022 et de réforme pour la justice a abrogé l’article L. 5 du code électoral. Les personnes en tutelle peuvent dorénavant exercer leur droit de vote de manière inconditionnelle.
Le code électoral autorise ""tout électeur atteint d'infirmité certaine et le mettant dans l'impossibilité d'introduire son bulletin dans l'enveloppe"" à se faire accompagner par un électeur de leur choix. L’électeur accompagnateur peut entrer dans l’isoloir. Il peut également introduire l’enveloppe dans l’urne. Si la personne ne peut pas signer, l’électeur accompagnateur signe la liste d’émargement avec la mention “l’électeur ne peut signer lui-même”.
Pour rendre accessibles les techniques de vote à toutes les personnes handicapées, le président du bureau de vote prend toute mesure afin de faciliter le vote autonome des personnes handicapées. Il peut notamment autoriser l’abaissement de l’urne."
Comment se déroule le vote d’un électeur ?,"L’électeur se présente au bureau de vote indiqué sur sa carte électorale qu'il peut également retrouver en interrogeant sa situation électorale. Son inscription sur la liste électorale du bureau et son identité sont vérifiées.
L'électeur prend une enveloppe électorale. La circulaire du 16 janvier 2020 précise qu'il prend ensuite un bulletin de vote d’au moins deux candidats (ou listes de candidats) ou aucun dans le cas où il utilise ceux qui lui ont été envoyés à son domicile. Pour garantir le secret du vote, l'électeur se rend obligatoirement dans l'isoloir. Si un électeur refuse d'entrer dans l'isoloir, le président du bureau de vote lui signifie les sanctions encourues (jusqu'à 15 000 euros d'amende et un an d'emprisonnement) et peut refuser son vote. À la sortie de l’isoloir et sans quitter la salle du scrutin, l'électeur introduit lui-même l’enveloppe dans l’urne.
Dans les bureaux de vote dotés d’une machine à voter, l’électeur fait enregistrer son suffrage par la machine à voter.
L’électeur signe ensuite la liste d’émargement. Sa carte électorale est estampillée, dans le cas où l’électeur l’a présentée (elle n’est pas obligatoire pour voter).
Comment se déroulent les opérations de vote ?
Fiche thématique
12 mars 2021"
Que sont les délégués des candidats ?,"Chaque candidat ou liste de candidats a le droit d’exiger la présence permanente dans chaque bureau de vote d’un délégué habilité à contrôler toutes les opérations de vote, de dépouillement des bulletins et de décompte des voix. Le délégué peut exiger l’inscription au procès-verbal de toute observation ou réclamation relative à ces opérations, avant ou après la proclamation des résultats du scrutin. Un même délégué peut être désigné pour plusieurs bureaux de votes."
Que sont les scrutateurs ?,"Les scrutateurs effectuent le dépouillement des votes. Ils font partie des électeurs de la commune présents sachant lire et écrire. Ils peuvent être désignés par chacun des candidats ou des représentants de listes en présence ou chacun des délégués des candidats. Leur nom, prénom et date de naissance sont communiqués au président du bureau au moins une heure avant la clôture du scrutin."
En quoi consistent les opérations de dépouillement des votes ?,"Il s’agit de l’ensemble des opérations permettant d’établir les résultats du scrutin. Il est procédé au dépouillement des votes dès que le président du bureau de vote a prononcé la clôture du scrutin. Le dépouillement se fait en présence des délégués des candidats sans interruption jusqu'à son achèvement. Il est opéré par les scrutateurs sous la surveillance des membres du bureau de vote. Les électeurs peuvent y assister.
Dans les bureaux de vote dotés d’une machine à voter, le président du bureau de vote, à la fin des opérations de vote, rend visibles les compteurs totalisant les suffrages obtenus par chaque liste ou chaque candidat ainsi que les votes blancs, de manière à en permettre la lecture par les membres du bureau, les délégués des candidats et les électeurs présents. Le président donne lecture à haute voix des résultats qui sont aussitôt enregistrés par le secrétaire.
En quoi consiste le dépouillement des bulletins de vote ?
Fiche thématique
17 mai 2019"
Qu’est-ce que le vote blanc ?,"Le vote blanc consiste, pour un électeur, à glisser un bulletin vierge ou pas de bulletin du tout dans l’enveloppe qu’il dépose ensuite dans l’urne.
La distribution de bulletins blancs dans les bureaux de vote n’est pas autorisée par le code électoral.
Depuis le 1er avril 2014, et conformément à la loi du 21 février 2014 visant à reconnaître le vote blanc aux élections, les votes blancs sont décomptés séparément des votes nuls, et annexés en tant que tels au procès-verbal. Le nombre de votes blancs est mentionné dans les résultats du scrutin. Néanmoins, les votes blancs continuent à ne pas être comptabilisés dans les suffrages exprimés.
Avant le 1er avril 2014, le code électoral n’établissait pas de distinction entre vote blanc et vote nul (bulletins ou enveloppes déchirés, annotés, etc.)."
Quels bulletins de vote sont déclarés nuls ?,"Les bulletins de vote tenus pour nuls ne sont pas comptés comme suffrages exprimés. Le bureau se prononce sur la validité des bulletins et des enveloppes contestés remis par les scrutateurs. Il lui appartient seul de décider si un bulletin ou une enveloppe doit être considéré comme nul.
Sont déclarés nuls, pour toutes les élections :
des bulletins trouvés dans l’urne sans enveloppe ou dans des enveloppes non réglementaires ;
les bulletins ne contenant pas une désignation suffisante ;
les bulletins écrits sur du papier de couleur ;
les bulletins et enveloppes sur lesquels les votants se sont fait connaître ;
les bulletins ou enveloppes portants des signes intérieurs ou extérieurs de reconnaissance ou des mentions injurieuses, etc.
Sont aussi déclarés nuls pour toutes les élections, sauf pour les élections municipales dans les communes de moins de 1 000 habitants :
les bulletins ne répondant pas aux prescriptions légales ou réglementaires édictées pour chaque catégorie d’élections ;
les bulletins comportant un ou plusieurs noms autres que celui du ou des candidats ou de leurs remplaçants éventuels ;
les bulletins comportant une modification de l’ordre de présentation des candidats ou une mention manuscrite ;
les bulletins manuscrits lors des scrutins de liste ;
les bulletins établis au nom d’un candidat, d’un binôme de candidats ou d’une liste dont la candidature n’a pas été enregistrée ;
les circulaires utilisées comme bulletin ;
les bulletins imprimés d’un modèle différent de ceux qui ont été produits par les candidats ou qui comportent une mention manuscrite ;
les bulletins pour des listes ou candidats différents contenus dans une même enveloppe (en revanche, si une enveloppe contient deux bulletins pour le même candidat, le vote est comptabilisé mais il ne compte que pour un seul).
Vote blanc ou vote nul, quelles différences ?
Infographie
16 mai 2019"
Comment est déterminé le nombre de suffrages exprimés ?,"Le nombre de suffrages exprimés correspond au nombre de votants (les électeurs inscrits sur les listes électorales moins les abstentionnistes) qui n’ont fait ni un vote blanc (enveloppe vide ou bulletin vierge), ni un vote nul (bulletins ou enveloppes annotés, déchirés, etc.).
Vote blanc, vote nul : quelles différences ?
Fiche thématique
20 juin 2022"
Comment est établi le procès-verbal ?,"Le procès-verbal des opérations électorales est rédigé par le secrétaire, en présence des électeurs, sur des imprimés fournis par la préfecture pour chaque élection. Il comporte notamment le nombre d’électeurs inscrits, le nombre des émargements, le nombre de votants, de suffrages exprimés, de suffrages recueillis par chaque candidat ou chaque liste, le nombre d’électeurs n’ayant pas retiré leur carte électorale au bureau de vote, toute réclamation des électeurs ou des délégués des candidats, ainsi que les décisions motivées prises par le bureau de vote sur les différents incidents qui se sont produits.
Le procès-verbal est établi en deux exemplaires signés par tous les membres du bureau."
Quand et comment sont proclamés les résultats ?,"Une fois le procès-verbal établi, le résultat est proclamé en public par le président du bureau et affiché par ses soins dans la salle de vote, avec les indications suivantes :
le nombre d’électeurs inscrits ;
le nombre de votants (enveloppes et bulletins sans enveloppe trouvés dans l'urne) ;
le nombre de bulletins et enveloppes déclarés nuls ;
le nombre de votes blancs ;
le nombre de suffrages exprimés ;
le nombre de suffrages recueillis par chacun des candidats ou listes."
À qui est transmis le procès-verbal ?,"Un exemplaire est adressé au représentant de l’État, un autre exemplaire est déposé en mairie. S’agissant de ce second exemplaire, il doit être communiqué à tout électeur requérant jusqu’à l’expiration des délais prévus pour l’exercice des recours contre l’élection."
Que doit faire le président du bureau en cas de fraude électorale ?,"On peut distinguer deux cas de figures :
si le président du bureau de vote a connaissance, pendant les opérations de vote, de tentatives de fraude électorale (exemple : essais de “bourrages” d’urne devant lui) ou de fraudes avérées, il dispose de moyens pour les faire cesser immédiatement. En effet, ayant en charge la police au sein du bureau de vote, il dispose des forces armées et de la police ;
si des fraudes se déroulent à l’abri du regard du président du bureau de vote et lui sont rapportées par d’autres membres du bureau ou par des électeurs, il appartient au président du bureau de signaler ces faits dans le procès-verbal des opérations de vote afin qu’ils apparaissent de manière officielle. Cela permet à toute personne intéressée de saisir le juge et à ce dernier de vérifier les allégations des parties.
Que doit faire le président du bureau de vote s’il constate une fraude électorale ?
Fiche thématique
17 mai 2019"
Les opérations de vote sont-elles contrôlées ?,"Pour l'élection présidentielle, des délégués désignés par le Conseil constitutionnel ont pour mission de vérifier la régularité des opérations de vote, du dépouillement des bulletins et du dénombrement des suffrages. Pour exercer ce contrôle, les délégués ont accès à tout moment aux bureaux de vote.
Pour les autres élections, une commission de contrôle des opérations de vote est instituée dans chaque commune de plus de 20 000 habitants, elle est présidée par un magistrat de l’ordre judiciaire. Elle est chargée de vérifier la régularité de la composition des bureaux de vote ainsi que celle des opérations de vote, de dépouillement des bulletins et de dénombrement des suffrages.
Elle n’intervient pas dans l’organisation et le déroulement du scrutin. Il lui revient de veiller au respect des dispositions du code électoral. Pour assurer ses missions, elle peut désigner un ou plusieurs délégués par bureau de vote afin de procéder à tout contrôle et vérification utiles. Le président de la commission peut à tout moment saisir le procureur de la République de toute infraction, irrégularité ou fraude constatée par les membres ou délégués des commissions."
"Est-il licite de consulter la liste d’émargement pour inciter les électeurs à venir voter, pendant le déroulement du scrutin ?","La liste d’émargement (c’est-à-dire une copie de la liste électorale, certifiée par le maire, et comportant les nom et prénoms, date et lieu de naissance, domicile des électeurs, ainsi que le numéro d’ordre qui est attribué à chacun) reste déposée sur la table de vote pendant toute la durée des opérations électorales.
La liste d’émargement est communiquée par la préfecture à tout électeur qui en fait la demande dans un délai de dix jours suivant l’élection.
Aucune disposition législative n’interdit les initiatives de nature à inciter les électeurs à voter, jusque et y compris durant la journée du scrutin. De telles initiatives ne sont pas condamnables en soi, mais elles le deviennent dès lors que les renseignements nominatifs recueillis au cours du déroulement du scrutin sont utilisés de façon préférentielle et constituent alors une forme de pression susceptible d’affecter le résultat, comme l’a souligné la jurisprudence du Conseil d’État (CE, 2 février 1990, élections municipales de Clichy-sous-Bois ; CE, 9 mars 1990, élections municipales de Grand-Couronne), a fortiori en cas de faible écart de voix entre les listes ou les candidats concurrents (CE, 4 mai 2018, élections municipales de Lamorlaye)."
Quels sont les objectifs et les moyens de la politique étrangère et de sécurité commune (PESC) ?,"Les objectifs de la PESC, tels que définis à l'article 21 du traité sur l’Union européenne (TUE), sont :
le maintien de la paix et le renforcement de la sécurité internationale ; 
la promotion de la coopération internationale avec les États tiers ;
le développement et la consolidation de la démocratie et de l’État de droit ; 
le respect des droits de l’homme et des libertés fondamentales.
Les actes adoptés dans le domaine de la PESC sont soumis à des règles qui prévoient une prise de décision à l’unanimité au sein du Conseil. La PESC est une politique intergouvernementale. Elle se caractérise par une série de procédures spéciales excluant les prérogatives de la Cour de justice de l'UE (CJUE) comme le précise l'article 24 du TUE. Par ailleurs, malgré son rôle limité dans le processus décisionnel de la politique étrangère, le Parlement européen soutient le concept de la PESC et cherche à en étendre la portée.
Le traité de Lisbonne, entré en vigueur le 1er décembre 2009, a créé de nouveaux acteurs de la PESC, notamment :
le Haut Représentant de l’Union pour les affaires étrangères et la politique de sécurité ;
le Service européen pour l’action extérieure (SEAE).
Le traité a également renforcé la politique de sécurité et de défense commune (PSDC), qui fait partie intégrante de la PESC. "
"Méthode communautaire, méthode intergouvernementale, de quoi s'agit-il ?","Les processus décisionnels de l’Union européenne (UE) varient selon les domaines politiques. En général, les décisions de l’UE sont prises au moyen de la ""méthode communautaire"", impliquant le recours à la procédure législative ordinaire, telle que définie dans l’article 294 du traité sur le fonctionnement de l’Union européenne (TFUE).
La ""méthode communautaire"" se caractérise par la répartition suivante des rôles entre institutions supranationales de l’UE :
le droit de la Commission européenne à initier et à exécuter des lois, à quelques exceptions près ; 
le Parlement européen et le Conseil de l’Union européenne en tant que colégislateurs adoptant la législation sur un pied d’égalité ; 
le recours au vote à la majorité qualifiée au Conseil européen.
La méthode intergouvernementale est utilisée dans le processus décisionnel, principalement en ce qui concerne la PESC et certains aspects de la coopération policière et judiciaire. Cette méthode se caractérise par les éléments suivants :
 le droit d’initiative de la Commission est partagé avec les États membres de l’UE ou est limité à certains domaines spécifiques ;
 le Conseil européen joue souvent un rôle clé ;
 le Parlement européen est impliqué dans le processus de prise de décision à des degrés variables ;
le Conseil agit de façon unanime et adopte les textes de lois.
L’UE est à la fois un projet politique et une Forme d’organisation juridique supranationale fondée sur le traité de l’Union européenne (TUE) et le traité sur le fonctionnement de l’UE (TFUE). En adhérant à l’Union européenne, les États membres ont accepté de transférer certaines de leurs compétences dans une série de domaines aux institutions européennes. Les États membres transmettent ces compétences à l’UE en vue d’atteindre leurs objectifs communs. L'UE a des compétences de législateur et ses lois priment sur les lois nationales."
Qu'est-ce que la règle de l'unanimité au sein de l'UE ?,"En matière de PESC, la méthode intergouvernementale est davantage de mise. 
Les décisions concernant la politique étrangère requièrent ainsi l’unanimité des chefs d’États et de gouvernements des 27 États membres. Dès lors, l’organe de décision suprême de l’UE est le Conseil européen, qui réunit les chefs d’État et de gouvernement des pays de l’UE. La règle de vote à l'unanimité, système qui régit la PESC, accorde de fait aux gouvernements un ""droit de veto""."
Existe-t-il des exceptions au vote à l'unanimité ?,"Le traité sur l'UE a ouvert la voie à l'approbation de certaines décisions à la majorité qualifiée. L'article 31 TUE prévoit trois possibilités :
l'abstention constructive. Lorsqu'un État membre n'est pas d'accord avec une action commune, il choisit de s'abstenir plutôt que de mettre son veto. L'action est alors approuvée et l'État membre, dans un ""esprit de solidarité mutuelle"", s'engage à ne pas interférer ;
la dérogation spéciale. Les États membres peuvent voter à la majorité qualifiée pour adopter une décision qui définit une action ou une position commune, mais seulement si la décision découle d'un mandat donné par le Conseil européen ou d'une proposition présentée par le chef de la diplomatie de l’UE ;
la clause passerelle. Le Conseil européen adopte une décision qui permet aux États membres d'agir à la majorité qualifiée dans des cas spécifiques de politique étrangère.
Bien que ces trois solutions représentent un ajout au mode de fonctionnement de l'UE, leur mise en œuvre est très limitée. Par exemple, lors du Conseil européen du 15 et 16 décembre 2023, les États ont voté en faveur de l'ouverture des négociations d'adhésion avec l'Ukraine, à l'exception de la Hongrie qui s'est abstenue. "
Vers la modification du mode de vote sur les questions de politique étrangère et de défense ?,"Les conflits armés en ex-Yougoslavie dans les années 1990 ont contribué à l’élaboration de la PESC dans le traité de Maastricht, entré en vigueur le 1er novembre 1993. La guerre déclenchée par la Russie le 24 février 2022 contre l'Ukraine peut également marquer une nouvelle ère pour cette politique. L'UE a, depuis lors, adopté des mesures en faveur de l'Ukraine qui auraient difficilement été envisageables auparavant.
Pour donner une réelle capacité d'initiative à la PESC, il est nécessaire d'une part d'encourager la concertation entre les États membres le plus en amont possible, d'autre part, d'empêcher que la capacité d'action de l'UE ne soit systématiquement bloquée par l'opposition d'un État membre. 
Les situations de blocage lors de votes clés ne sont pas nouvelles. Certains gouvernements ont utilisé le ""droit de veto"" comme moyen de pression dans le contexte de la guerre russe contre l'Ukraine. La capacité à agir rapidement est cependant déterminante dans le rôle que l'UE veut jouer en tant qu’acteur de la politique étrangère.
Unanimité ou majorité qualifiée ?
Le débat unanimité contre majorité qualifiée n'est pas nouveau et son intensité a varié en fonction des contextes internationaux.
Un groupe de neuf États membres de l’UE dont la France, a lancé le 4 mai 2023 une initiative pour réformer l’approche de l’UE. Au lieu de l’unanimité, le groupe préconise la mise en place du recours au vote à la majorité qualifiée sur les questions clés de politique étrangère et de défense. Cette modalité de vote nécessiterait l’accord de 15 des 27 États membres (55% des pays de l'UE), à condition qu’ils représentent plus de 65% des 450 millions de citoyens de l’UE (article 16 paragraphe 4 du TUE).
Les défenseurs de l'unanimité affirment toutefois que le vote à l'unanimité renforce la légitimité démocratique, consolide l'unité, améliore la mise en œuvre des décisions et offre aux petits États un bouclier contre les exigences des plus grands pays. Ses détracteurs soutiennent quant à eux que celle-ci entrave la prise de décision."
